,Arcade,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
0,Duffer's,4c02e10d187ec92870e5b47b,Duffer's,0,5210 Pacific Ave,38.98097139734643,-74.82570004429925,52e81612bcbc57f1066b79eb,Mini Golf
1,Duffer's,60ee10fd77663d332252d1b1,Tara’s,33,No Address,38.980954,-74.825312,4bf58dd8d48988d1c3941735,Moroccan Restaurant
2,Duffer's,4bf9c2f45ec320a105d28ad3,Dominics Place,31,5209-5299 Pacific Ave,38.980841383333335,-74.82538,4bf58dd8d48988d1c3941735,Moroccan Restaurant
3,Duffer's,4e73c0ea52b145ffbfb7a5ac,Eden roc,262,Bennett,38.97957086482685,-74.82325430919505,4bf58dd8d48988d1fb931735,Motel
4,Duffer's,503abac4e4b0fad35e545b9b,"One Fish, Two Fish Restaurant",40,5209 Pacific Ave,38.980909999999994,-74.825234,4bf58dd8d48988d157941735,New American Restaurant
5,Duffer's,4c660b8ef7a80f47324c9d7a,Green's Liquors,48,5301 Pacific Ave,38.98053648442993,-74.82576504463329,4bf58dd8d48988d186941735,Liquor Store
6,Duffer's,51cf8c2a498e603aa0e99439,Duffers Mini Golf,28,No Address,38.981139495919976,-74.82545346582441,4bf58dd8d48988d1e6941735,Golf Course
7,Duffer's,4fc0f30ce4b07e3cd94ac219,Clam Casino,136,No Address,38.980406,-74.824298,4bf58dd8d48988d17c941735,Casino
8,Duffer's,4fd5bf40e4b0b56919bc3526,Forget-Me-Not Beach,123,No Address,38.98087672226234,-74.8271213781612,4bf58dd8d48988d1e3941735,Surf Spot
9,Duffer's,50018596e4b0eed3b6f65639,The Beach at Hildreth,59,No Address,38.98064353499091,-74.82516215064753,4bf58dd8d48988d1e3941735,Surf Spot
10,Duffer's,4e5d169418389da163ef7a78,5400 New Jersey Ave.,151,No Address,38.9823278685018,-74.82580190095217,4bf58dd8d48988d1ad941735,Trade School
11,Duffer's,4c49dec3fbafc92852f281db,Safari Golf,345,5201 Boardwalk,38.97824191183256,-74.82380267305707,4bf58dd8d48988d1f1931735,General Entertainment
12,Duffer's,4fa81b67e4b012feff4459d3,E Morning Glory Rd,219,No Address,38.98048896443938,-74.82815524690575,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
13,Duffer's,4c9298b1332c370443918964,Pink Champagne,314,4510 Atlantic ave,38.98125142,-74.82207883,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
14,Duffer's,4c94562558d4b60c63122829,Crystal Sands Motel,335,307 E Hand Ave,38.98094029,-74.82182496,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
15,Duffer's,4ffc5c89e4b070f1c959ae02,Bennet Ave,143,225 Bennett Ave,38.98058131259307,-74.82412255113955,4bf58dd8d48988d15e941735,Pool
16,Duffer's,4df30de7b0fb807158c127ae,Buttons Bakery,258,130 E Buttercup Rd,38.97918139178588,-74.82760689743532,4bf58dd8d48988d16a941735,Bakery
17,Duffer's,52096b3b11d2db2a3a75a1dd,Dolphin Motel,265,No Address,38.97951999164911,-74.82326573346066,4bf58dd8d48988d1fb931735,Motel
18,Duffer's,4c4085c46c1a95211f4cb96a,Rohm Resort,171,105 E Bennett Ave,38.982471999999994,-74.826138,4bf58dd8d48988d12f951735,Resort
19,Duffer's,4e726699b61c8e7ada3261f7,Ala Moana Motel,190,5300 Atlantic Ave,38.97948718167134,-74.82461379127949,4bf58dd8d48988d1fb931735,Motel
20,Arcade 160 Studios,4c00162dc30a2d7f54fc111d,Southern Dairies,34,No Address,33.77038126654163,-84.36697983785133,4bf58dd8d48988d130941735,Building
21,Arcade 160 Studios,4d38948f6eef5481d4ee4148,"McManamy, McLeod, Heller",32,621 North Ave NE,33.77022940791192,-84.36683440137578,4bf58dd8d48988d127941735,Conference Room
22,Arcade 160 Studios,4a7cb042f964a52041ed1fe3,North Ave Post,23,621 North Ave,33.770274,-84.3672913312912,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
23,Arcade 160 Studios,60bfad5bef29715bc3146fb6,Sweetgreen,160,650 North Ave NE,33.771484,-84.366648,4bf58dd8d48988d1bd941735,Salad Place
24,Arcade 160 Studios,4c40b53da5c5ef3b2710b06f,Cardlytics,36,621 North Ave,33.770394946883094,-84.36697420306936,4bf58dd8d48988d124941735,Office
25,Arcade 160 Studios,5a0124f393bd634fafe63468,Deep End,61,621 North Ave NE Ste A100,33.77062221954636,-84.36694314286268,56aa371ae4b08b9a8d5734ba,Tex-Mex Restaurant
26,Arcade 160 Studios,50afcfd0e4b0dc886f2a631d,clark mountain,2176,No Address,33.78425216674805,-84.38337707519531,4eb1d4d54b900d56c88a45fc,Mountain
27,Arcade 160 Studios,4dc014671e72dd48b20019a6,MW Law Atlanta,6,621 North Ave,33.770113,-84.367077,4bf58dd8d48988d174941735,Coworking Space
28,Arcade 160 Studios,57bde049498e3cc1f7d51ae2,North Creative,20,"621 North Ave NE, Suite C170",33.77027893066406,-84.36711883544922,4bf58dd8d48988d1f1931735,General Entertainment
29,Arcade 160 Studios,4b548145f964a520bebd27e3,Keller Williams,23,621 North Ave NE Ste C50,33.77026152204817,-84.3669893442236,5032885091d4c4b30a586d66,Real Estate Office
30,Arcade 160 Studios,4d6678a3153ba0930ff4e9f8,Arcade 160 Studios,0,621 North Ave NE Ste C,33.770101,-84.367149,4bf58dd8d48988d124941735,Office
31,Arcade 160 Studios,52614d2e11d2226cbe1a8e3b,Levine City Real Estate,20,621 North Ave NE Ste C50,33.77027893066406,-84.36711883544922,5032885091d4c4b30a586d66,Real Estate Office
32,Arcade 160 Studios,5d3f7c6a91896e0008d83e70,The Lola,39,621 North Ave NE Ste D100,33.769911,-84.367508,4bf58dd8d48988d174941735,Coworking Space
33,Arcade 160 Studios,581a233996ac60560ea72693,smith dalia architects,70,No Address,33.770713,-84.367365,4bf58dd8d48988d124941735,Office
34,Arcade 160 Studios,581f77788d169071e54b6990,Poseman Books,115,No Address,33.77096,-84.36784,4bf58dd8d48988d114951735,Bookstore
35,Arcade 160 Studios,4fe220fae4b02702d7d533c0,Dancing Goats Coffee Bar,146,650 North Ave NE,33.77138519612945,-84.36750944597692,4bf58dd8d48988d1e0931735,Coffee Shop
36,Arcade 160 Studios,4c9ac088a004a1cd7a5a4b6e,AMLI Old 4th Ward,126,525 Glen Iris Dr NE,33.76902938926557,-84.36759788646008,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
37,Arcade 160 Studios,58b9a59c6cda1c41bc39ca0c,Rudy's Barbershop,145,650 North Ave NE #202,33.77141159711469,-84.36717746186542,4bf58dd8d48988d110951735,Salon / Barbershop
38,Arcade 160 Studios,5ceaedea06fb60002c22d8f9,The Tasting Room At City Winery,145,No Address,33.77139,-84.366893,4bf58dd8d48988d123941735,Wine Bar
39,Arcade 160 Studios,5d9d1ce9b5059b000858143e,Novel O4W,249,525 North Avenue Northeast,33.770875,-84.369678,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
40,Foege's Arcade,52c1f804498eff7b86c2a4fe,Heritage Park,213,No Address,33.739707,-84.386221,4bf58dd8d48988d163941735,Park
41,Foege's Arcade,4d7412d3d6f06dcbbdb70f08,Foege's Arcade,0,No Address,33.740652,-84.384216,4bf58dd8d48988d1e1931735,Arcade
42,Foege's Arcade,5d0d6de2b990ec002348181c,Halfway Crooks Beer,443,60 Georgia Ave SE,33.736942,-84.385956,50327c8591d4c4b30a586d5d,Brewery
43,Foege's Arcade,58bc58e891936a61c9aebc32,fulton-glenwood park,231,No Address,33.742144,-84.382477,4bf58dd8d48988d163941735,Park
44,Foege's Arcade,4b6cdadbf964a5205e592ce3,1996 Olympic Games Cauldron,375,435 Capitol Av SE,33.74162025811199,-84.38810554098399,4deefb944765f83613cdba6e,Historic Site
45,Foege's Arcade,606c2412a49d620ef38065e3,Broadstone Summerhill,155,100 Fulton St SE,33.7420098,-84.38462779999999,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
46,Foege's Arcade,4f8af0eee4b029818b982c72,Turner Field Braves Museum,118,No Address,33.73960334715983,-84.3839687185641,4bf58dd8d48988d190941735,History Museum
47,Foege's Arcade,5d4a03a2c202400007394bb7,Junior’s Pizza,459,77 Georgia Ave SE,33.736656594623724,-84.38545728002202,4bf58dd8d48988d1ca941735,Pizza Place
48,Foege's Arcade,51b28c367dd2c716cc691126,Summerhill,264,No Address,33.7387898705659,-84.38598329096268,4f2a210c4b9023bd5841ed28,Housing Development
49,Foege's Arcade,5d055bc59b0473002c8d605b,Big Softie,440,68 Georgia Ave SE,33.736899,-84.38573,4bf58dd8d48988d1c9941735,Ice Cream Shop
50,Foege's Arcade,4c0fc2e17189c9288096dab6,Martin Luther King Jr. Middle School,415,595 Hill St,33.7386337096175,-84.3804395198822,4bf58dd8d48988d1a8941735,General College & University
